PDF;file;title;author1;pseudonyme1;pseudonyme2;date;GALLICA;DigitalSource-1;DigitalSource-2;GOOGLE/INTERNET ARCHIVE;DigitalSource-3;refsource;Wikipedia
1;FRA03802_Stern.xml;Nélida;Daniel Stern;Daniel Stern;;1846;https://gallica.bnf.fr/ark:/12148/bpt6k130569x;http://www. gutenberg. org/ebooks/26863;http://www. gutenberg. org/ebooks/26863;;;digitalSource;https://fr.wikipedia.org/wiki/Daniel Stern
1;FRA03903_Stolz.xml;Le Secret de Laurent;Madame de Stolz;Madame de Stolz;;1878;https://gallica.bnf.fr/ark:/12148/bpt6k6502382x;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com/vents-xpdf/Stolz-Laurent.pdf;;;digitalSource;https://fr.wikipedia.org/wiki/Madame de Stolz
1;FRA04001_Verne.xml;Un capitaine de quinze ans;Jules Verne;Verne Jules;;1878;https://gallica.bnf.fr/ark:/12148/bpt6k6541873g;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com;;;digitalSource;https://fr.wikipedia.org/wiki/Jules Verne
1;FRA04002_Verne.xml;Le Secret de Wilhelm Storitz;Verne Jules;Verne Jules;;1898;https://gallica.bnf.fr/ark:/12148/bpt6k65804215;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com;;;digitalSource;https://fr.wikipedia.org/wiki/Jules Verne
1;FRA04102_Erckmann.xml;Madame Thérèse, ou les volontaires de 92;Emile Erckmann ;Erckmann Emile;;1863;https://gallica.bnf.fr/ark:/12148/bpt6k5542516h;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com;;;digitalSource;https://fr.wikipedia.org/wiki/Emile Erckmann 
1;FRA04202_Rolland.xml;Jean-Christophe;Romain Rolland ;Rolland Romain;;1912;https://gallica.bnf.fr/ark:/12148/bpt6k9782125h;https://gallica.bnf.fr/ark:/12148/bpt6k9782125h;;;;printSource;https://fr.wikipedia.org/wiki/Romain Rolland 
1;FRA04301_Achard.xml;Belle-Rose;Amédée Achard ;Achard, Amédée ;;1847;ark:/12148/bpt6k203192c;ark:/12148/bpt6k203192c;;;;printSource;https://fr.wikipedia.org/wiki/Am%C3%A9d%C3%A9e_Achard
1;FRA04401_Barbusse.xml;Le Feu;Henri Barbusse ;Barbusse, Henri ;;1916;https://gallica.bnf.fr/ark:/12148/bpt6k990598p;#unknownSource;#unknownSource;;;digitalSource;https://fr.wikipedia.org/wiki/Henri Barbusse 
1;FRA04501_Barres.xml;Colette Baudoche: histoire d'une jeune fille de Metz;Maurice Barrès ;Barrès, Maurice;;1908;ark:/12148/bpt6k6267092r;ark:/12148/bpt6k6267092r;;;;printSource;https://fr.wikipedia.org/wiki/Maurice Barrès 
1;FRA04601_Bazin.xml;Le blé qui lève;René Bazin ;Bazin, René;;1907;https://gallica.bnf.fr/ark:/12148/bpt6k97700844;http://www.bibebook.com/search/978-2-8247-1249-9;http://www.bibebook.com/search/978-2-8247-1249-9;;;digitalSource;https://fr.wikipedia.org/wiki/René Bazin 
